DATE,CEU4200000001,PAYNSA
09/01/16,15694.7,146924
10/01/16,15844.7,147566
11/01/16,16205.2,146464
12/01/16,16338.3,146782
01/01/17,15798.7,147169
02/01/17,15572.1,148182
03/01/17,15579.2,148758
04/01/17,15630.8,148509
05/01/17,15703.6,145412
06/01/17,15786.3,146649
07/01/17,15784.8,147352
08/01/17,15753.6,148329
09/01/17,15621.7,149264
10/01/17,15762.6,149930
11/01/17,16229.1,148767
12/01/17,16248.1,149236
01/01/18,15660.6,149545
02/01/18,15518.8,150553
03/01/18,15553.2,151032
04/01/18,15611.4,150831
05/01/18,15714.6,147878
06/01/18,15749.8,148683
07/01/18,15745.8,149360
08/01/18,15713.5,150422
09/01/18,15546.3,151093
10/01/18,15650.1,151714
11/01/18,16131.9,150658
12/01/18,16136.8,151094
01/01/19,15568.3,151510
02/01/19,15368.9,152500
03/01/19,15365.9,153095
04/01/19,15408.5,152845
05/01/19,15468.1,150056
06/01/19,15543.5,150967
07/01/19,15548.5,149952
08/01/19,15504.3,130253
09/01/19,15388.2,133422
10/01/19,15542.7,138507
11/01/19,15967.1,139105
12/01/19,16040,140727
01/01/20,15446.9,141957
02/01/20,15292.2,143564
03/01/20,15225.7,144116
04/01/20,13074.8,143604
05/01/20,13547.8,140974
06/01/20,14456.2,142129
07/01/20,14705.9,143308
08/01/20,14927,144402
09/01/20,14859,145392
10/01/20,15102.5,146626
11/01/20,15464.3,146619
12/01/20,15608.7,147159
01/01/21,15096.2,147917
02/01/21,14986,149605
03/01/21,15035,150543
04/01/21,15022.3,150740
05/01/21,15121.6,147932
06/01/21,15279.7,149606
07/01/21,15266.6,150411
08/01/21,15206.3,151434
09/01/21,15163.8,152264
10/01/21,15367.1,153175
11/01/21,15693.4,152813
12/01/21,15801.5,153208
01/01/22,15361.4,153730
02/01/22,15351.8,154936
03/01/22,15352.1,155519
04/01/22,15327.2,155211
05/01/22,15352.1,152688
06/01/22,15495.1,153817
07/01/22,15517.8,154253
08/01/22,15505.3,155201
09/01/22,15381.2,156132
10/01/22,15527.7,156842
11/01/22,15794.1,155981
12/01/22,15900.7,156355
01/01/23,15489.5,156845
02/01/23,15431.6,157878
03/01/23,15390.8,158347
04/01/23,15420.9,158269
05/01/23,15514.8,155432
06/01/23,15590.4,156551
07/01/23,15603,157210
08/01/23,15561.9,158001
09/01/23,15474.2,158842
10/01/23,15629.8,159341
11/01/23,15926.4,158399
12/01/23,16048.2,158731
01/01/24,15573,159181
02/01/24,15482.3,160007
03/01/24,15492.6,158106
04/01/24,15531.9,158214
05/01/24,15610.9,158430
06/01/24,15683.3,158548
07/01/24,15671.1,158692
08/01/24,15610.1,158770
09/01/24,15544.8,158993
10/01/24,15669.5,159005
